Municipio;UF;Regiao;Ano;Populacao;PessoalOcupado;PessoalAssalariado;PIB;QtEmpresas;AreaPlantada_h;VlProducaoAgricola;VlProducaoPecuaria;Area;NrNascimentos;NrObitosInfantis;povoamento;Exportacoes_R$
Mulungu;PB;Nordeste;2018,5;9913,0;649,0;597,5;78322000,0;43,67;48333,33;5000,0;4166,67;195,3;132,67;1,5;50,76;0,0
Mulungu do Morro;BA;Nordeste;2018,5;11215,33;816,67;753,0;153740800,0;116,5;23333,33;46666,67;1333,33;566,0;202,0;3,5;19,82;4420925,76
Mundo Novo;BA;Nordeste;2018,5;27000,5;1001,17;842,83;164507200,0;176,17;1666,67;23166,67;5833,33;1493,4;200,67;3,17;18,08;142768316,56
Mundo Novo;GO;Centro-Oeste;2018,5;5108,83;497,5;430,83;108889000,0;78,5;13333,33;32333,33;4166,67;2146,6;80,33;0,33;2,38;0,0
Mundo Novo;MS;Centro-Oeste;2018,5;18295,0;3376,0;2747,33;519531200,0;471,33;625000,0;27500,0;6333,33;477,8;296,33;4,67;38,29;373271521,51
Munhoz;MG;Sudeste;2018,5;6098,5;670,17;566,17;91965400,0;87,5;28333,33;58333,33;3333,33;191,6;62,17;1,33;31,83;72531,71
Munhoz de Melo;PR;Sul;2018,5;3979,5;604,33;473,33;100375000,0;108,83;526666,67;57333,33;3166,67;137,0;50,33;0,67;29,05;0,0
Muniz Ferreira;BA;Nordeste;2018,5;7509,33;529,5;469,17;52521800,0;53,0;6666,67;2166,67;0,0;110,1;85,67;1,33;68,2;880562,83
Muniz Freire;ES;Sudeste;2018,5;17857,33;1850,83;1484,0;301534600,0;300,5;268333,33;205166,67;49833,33;679,9;239,83;2,67;26,26;0,0
Muqui;ES;Sudeste;2018,5;15578,33;1430,67;1104,0;190461200,0;270,33;46666,67;48000,0;6166,67;326,9;167,5;2,5;47,65;144323,12
Muquém de São Francisco;BA;Nordeste;2018,5;11456,5;762,5;705,67;142308400,0;59,83;361666,67;18333,33;5166,67;3638,1;171,5;3,0;3,15;0,0
Muriaé;MG;Sudeste;2018,5;108786,33;26763,33;21588,17;2227466800,0;3,77;61666,67;48000,0;29500,0;841,7;1,29;14,83;129,25;10054482,29
Muribeca;SE;Nordeste;2018,5;7645,33;849,17;796,33;88028800,0;43,5;8333,33;7166,67;1333,33;75,9;109,17;2,0;100,73;0,0
Murici;AL;Nordeste;2018,5;28362,5;2939,67;3049,33;338298400,0;247,33;146666,67;53500,0;29000,0;426,8;469,67;5,67;66,45;3285900,83
Murici dos Portelas;PI;Nordeste;2018,5;9113,67;451,67;417,5;65788800,0;36,17;45000,0;6500,0;0,0;481,7;108,17;2,0;18,92;0,0
Muricilândia;TO;Norte;2018,5;3542,0;311,17;290,83;46490600,0;22,33;11666,67;2666,67;5333,33;1186,6;56,67;0,83;2,98;0,0
Muritiba;BA;Nordeste;2018,5;29805,33;2333,67;2011,17;265150200,0;291,83;48333,33;8000,0;0,0;89,3;327,33;5,67;333,77;314482,67
Murutinga do Sul;SP;Sudeste;2018,5;4478,33;1259,83;926,67;68200200,0;135,83;231666,67;48500,0;19333,33;250,8;29,83;0,33;17,86;0,0
Mutum;MG;Sudeste;2018,5;27153,67;2577,67;2047,83;392790600,0;427,17;141666,67;166666,67;82333,33;1250,8;349,5;2,17;21,71;534,87
Mutunópolis;GO;Centro-Oeste;2018,5;3816,83;284,17;229,33;64263200,0;49,67;31666,67;6500,0;5333,33;955,9;49,83;0,5;3,99;0,0
Mutuípe;BA;Nordeste;2018,5;22485,67;2681,0;2372,67;270391800,0;261,33;520000,0;55000,0;0,0;283,2;280,5;3,17;79,4;895,55
Muzambinho;MG;Sudeste;2018,5;20712,83;3912,67;2981,0;434986400,0;638,5;148333,33;417000,0;36500,0;409,9;258,5;3,33;50,53;19880,95
