Ano,Regiao,UF,Municipio,PIB,Populacao,PIB_per_capita
2018,Centro-Oeste,DF,Brasília,254817205.0,2974703.0,85661.39375930975
2018,Sudeste,ES,Barra de São Francisco,842101.0,44315.0,19002.617623829407
2018,Nordeste,BA,Pojuca,1037112.0,39045.0,26561.966961198617
2018,Centro-Oeste,MS,Naviraí,1840136.0,54051.0,34044.43951083236
2018,Sul,PR,Cornélio Procópio,1546917.0,47847.0,32330.49093987084
2018,Centro-Oeste,MT,Pontes e Lacerda,1340557.0,45093.0,29728.716208724196
2018,Sudeste,RJ,Itatiaia,4981040.0,31537.0,157942.73393157244
2018,Sul,RS,Novo Hamburgo,9424240.0,246452.0,38239.657215198094
2018,Sudeste,SP,Cabreúva,4674182.0,48966.0,95457.705346567
2018,Norte,TO,Pedro Afonso,532347.0,13380.0,39786.77130044843
2018,Sul,SC,Três Barras,1113638.0,19183.0,58053.38059740395
2018,Norte,PA,Santarém,4858426.0,302667.0,16052.050603468499
2018,Centro-Oeste,MT,Canarana,1270257.0,21311.0,59605.69658861621
2018,Sudeste,SP,Santa Gertrudes,1765294.0,26403.0,66859.5992879597
2018,Sudeste,SP,Gavião Peixoto,885935.0,4762.0,186042.62914741706
2018,Centro-Oeste,GO,Goiatuba,1567542.0,33986.0,46123.16836344377
2018,Sudeste,MG,Catas Altas,420006.0,5330.0,78800.37523452158
2018,Sudeste,MG,Três Corações,2315536.0,78913.0,29342.89660765653
2018,Sul,RS,Sapiranga,3326836.0,81198.0,40971.89585950393
2018,Sudeste,MG,Itajubá,2990736.0,96389.0,31027.77287864798
2018,Sudeste,MG,João Monlevade,2925696.0,79387.0,36853.590638265705
2018,Sudeste,SP,Lençóis Paulista,2638583.0,67859.0,38883.31687764335
2018,Centro-Oeste,GO,Luziânia,3858807.0,205023.0,18821.337118274532
2018,Sudeste,SP,Ribeirão Pires,3041275.0,122607.0,24805.06822612086
2018,Nordeste,BA,Brumado,1768344.0,67048.0,26374.299009664723
2018,Norte,PA,Castanhal,3911556.0,198294.0,19726.043148052893
2018,Centro-Oeste,MS,Bataguassu,784859.0,22717.0,34549.412334375134
